name,sub_title,brand,model,color,price,currency,availability,description,avg_rating,review_count,available_sizes
Nike Sportswear Tech Fleece,Little Kids' Joggers,Nike,12316355,Aegean Storm,45.97,USD,OutOfStock,"THE PERFECT FIT FOR KIDS ON THE GO.The Nike Sportswear Tech Fleece Pants draw inspiration from athletic designs with a slim, tapered fit that allows little ones to move naturally.BenefitsNike Tech Fleece fabric offers the ultimate in lightweight warmth.Moisture-wicking zip media pocket offers a safe place to store valuables.Product Details67% cotton/33% polyesterMachine WashImportedShown: Aegean StormStyle: 86B203-U7D",0.0,0.0,Unavailable
Paris Saint-Germain Strike,Big Kids' Nike Dri-FIT Short-Sleeve Soccer Top,Nike,13891109,White/Midnight Navy/University Red/Midnight Navy,45.0,USD,InStock,"ELEVATE YOUR TRAINING.The Paris Saint-Germain Strike Top has design details specifically tailored for soccer’s rising stars. A slim, streamlined fit ensures that nothing comes between you and the ball, and sweat-wicking fabric helps keep you cool and composed while fine-tuning your skills. This product is made with 100% recycled polyester fibers.BenefitsNike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.Signature crest and colors let you show your PSG pride wherever you go.Product DetailsSlim fit for a tailored feel100% polyesterMachine washImportedShown: White/Midnight Navy/University Red/Midnight NavyStyle: DJ8722-101",0.0,0.0,XS | S | M | L | XL
Croatia 2022/23 Stadium Away,Women's Nike Dri-FIT Soccer Jersey,Nike,14063839,Blackened Blue/University Red,95.0,USD,OutOfStock," Like other jerseys from our Stadium collection, this one pairs replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favorite team.BenefitsNike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.Replica design is modeled after what the pros wear on the field.Product DetailsSlim fit for a tailored feel100% polyesterMachine washImportedShown: Blackened Blue/University RedStyle: DN0759-498",0.0,0.0,Unavailable
Nike Therma Lockup (NFL Kansas City Chiefs),Men's Full-Zip Hoodie,Nike,14185126,Silver/Red,95.0,USD,InStock,"ESSENTIAL OUTER LAYER.The Nike Therma Lockup (NFL Kansas City Chiefs) Hoodie combines sweat-wicking technology with soft, 2-way stretch fabric and a full-zip closure to help you stay dry and warm on game day.BenefitsNike Therma fabric helps keep you warm.Nike Dri-FIT technology helps you stay dry, comfortable and focused.Product DetailsHood with adjustable drawstring2 front pockets100% polyesterMachine washImportedShown: Silver/RedStyle: NS4711R57G-5P9",0.0,0.0,S | M | L | XL | 2XL
Nike Dri-FIT Primetime Logo (MLB San Francisco Giants),Men's Shorts,Nike,13969357,Black,45.0,USD,OutOfStock,"TEAM-INSPIRED PERFORMANCE.Finished with a team logo at the hem, the Nike Dri-FIT Primetime (MLB San Francisco Giants) Shorts are designed with sweat-wicking technology for a dry, comfortable wear. Their elastic waistband and 2-way stretch fabric help create a flexible fit.BenefitsNike Dri-FIT technology helps you stay dry, comfortable and focused.Mesh paneling helps create a lightweight, breathable feel.Product Details2 side pockets100% polyesterMachine washImportedShown: BlackStyle: NMMA088NGIA-0LH",0.0,0.0,Unavailable
Nike City Connect Wordmark (MLB Kansas City Royals),Men's T-Shirt,Nike,13963845,Navy,30.0,USD,InStock,"SHOW YOUR PRIDE IN YOUR CITY.Made with soft cotton fabric for all-day comfort, the Nike City Connect Wordmark (MLB Kansas City Royals) T-Shirt is designed with special colors and graphics to help showcase your love for your team and city.Product Details100% cottonMachine washImportedShown: NavyStyle: N19944BROY-0A3",0.0,0.0,S
Nike College Therma (Michigan State),Women's Long-Sleeve 1/2-Zip Fleece,Nike,12911769,Grey Heather/White/Pro Green,40.97,USD,OutOfStock,"COZY COMFORT TO REP YOUR TEAM.Stay comfortable while showing love for your school in the Nike College Therma (Michigan State) Fleece, featuring soft fleece and a 1/2-zip design to change up the look.BenefitsNike Therma fabric helps keep you warm.Fleece is soft and comfortable.Elastic cuffs and waistband provide a snug fit.Product DetailsStandard fit for a relaxed, easy feelFront pocket1/2-length zipperBody: 100% polyester. Pocket bags: 100% recycled polyester.Machine washImportedShown: Grey Heather/White/Pro GreenStyle: CQ6852-050",0.0,0.0,Unavailable
Portugal 2022/23 Stadium Home,Men's Nike Dri-FIT Soccer Shorts,Nike,14063778,Gorge Green/Pepper Red/Gold Dart,52.0,USD,OutOfStock," Like other shorts from our Stadium collection, these ones pair replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favorite team.BenefitsNike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.Replica design is modeled after what the pros wear on the field.Product DetailsSlim fit for a tailored feelElastic waistband with internal drawcord100% polyesterMachine washImportedShown: Gorge Green/Pepper Red/Gold DartStyle: DN0733-341",0.0,0.0,Unavailable
Nike College Legacy91 (UNC),Hat,Nike,13427474,Grey Heather/Valor Blue,21.97,USD,OutOfStock,SWEAT-WICKING SHADE.The Nike College Legacy91 (UNC) Hat features school details on sweat-wicking fabric to help keep you dry and comfortable when Chapel Hill heats up.BenefitsEmbroidered eyelets and mesh paneling add breathability.Adjustable closure lets you customize the fit.Product Details6-panel design100% polyesterHand washImportedShown: Grey Heather/Valor BlueStyle: DJ6496-063,0.0,0.0,Unavailable
Nike Rewind Playback Helmet (NFL Tennessee Titans),Men's Long-Sleeve T-Shirt,Nike,1007647902,Navy,55.0,USD,InStock,THROWBACK TEAM SPIRIT.The Nike Rewind Playback Helmet (NFL Tennessee Titans) T-Shirt is designed with old-school team details and heathered fabric to help you get ready for game day.Product Details64% cotton/36% polyesterMachine washImportedShown: NavyStyle: NKZF85J8F-0YW,0.0,0.0,S | M | L | XL | 2XL
Denver Nuggets Nike x Filip Pagowski,Men's NBA T-Shirt,Nike,12437418,White,21.97,USD,OutOfStock,"REPRESENT YOUR TEAMThe Denver Nuggets Nike x Filip Pagowski Men's NBA T-Shirt showcases team pride inspired by famed illustrator Filip Pagowski. Made with pure cotton, it delivers all-day comfort from the stands to the street.Product DetailsFabric: 100% cottonMachine washImportedShown: WhiteStyle: 00037746X-DQ2",5.0,1.0,Unavailable
Hurley Palmdale,Boys' Board Shorts,Nike,13045139,Unknown,40.0,USD,OutOfStock,"AN ESSENTIAL FOR BEACH DAY.A must-have for beach day, the Hurley Palmdale Board Shorts feature a colorful print and a drawcord, so little ones can adjust the fit for fun in the sun.Product Details97% polyester/3% elastaneMachine washImportedShown: Style: 883936-U4G",0.0,0.0,Unavailable
NFL Minnesota Vikings Nike Vapor Untouchable (Randy Moss),Men's Limited Football Jersey,Nike,14020214,Purple,160.0,USD,InStock,"GRIDIRON LOOK.The NFL Minnesota Vikings Nike Vapor Untouchable Jersey delivers an authentic touch on game day. Sweat-wicking technology and sublimated detailing help provide all-day comfort as you rep your favorite player of all time.BenefitsNike Dri-FIT technology helps you stay dry, comfortable and focused.Sublimated details add breathability.Ventilation over major heat zones helps keep you cool.Product DetailsStandard fit for a relaxed, easy feelNFL shield at V-neckTagless neck labelLaser-cut embossed jock tag100% polyesterMachine washImportedShown: PurpleStyle: 32NMMVLHW63-2TA",0.0,0.0,S | M | L | XL
Air Jordan 1 Zoom CMFT,Shoes,Nike,13941353,Fossil Stone/Fossil Rose/Psychic Purple/White,150.0,USD,InStock,"A CLASSIC RECRAFTED FOR COMFORT.Making iconic style even more comfortable. The Air Jordan 1 Zoom Cmft remakes the 1st Air Jordan with lightweight, low-profile cushioning and elements that improve wearability. Leathers and textiles in the upper have a broken-in feel. A lined, padded collar cups the heel for a secure fit.BenefitsA Zoom Air unit provides lightweight, responsive cushioning.Genuine and synthetic leather and textile materials in the upper for durability.Lined, padded collar provides comfort around heel and ankle.Product DetailsFoam sole with rubber sidewallsRubber tractionSocklinerShown: Fossil Stone/Fossil Rose/Psychic Purple/WhiteStyle: CT0978-201",4.8,120.0,M 9 / W 10.5 | M 9.5 / W 11 | M 10 / W 11.5 | M 10.5 / W 12 | M 11 / W 12.5
Nike Air Pegasus 83 Premium,Men's Shoes,Nike,14154942,Thunder Blue/Particle Grey/Photo Blue/Black,89.97,USD,InStock," Travel first class in the Nike Air Pegasus 83 Premium—the callback classic. With a splash of running history, a dash of retro and a whole lot of comfort, it’s your new go-to. A leather and suede upper is easy to style, proving you don’t need a plane to take you places. Just lace up and arrive looking fresh.BenefitsUpper features luscious suede and premium leather for durable style inspired by heritage running.Foam midsole with Nike Air unit in heel delivers lasting comfort.Vintage Nike Air branding on the tongue and backtab adds to the classic '80s aesthetic.Low-cut, padded collar looks sleek and feels great.Rubber Waffle outsole gives you traction and durability.Shown: Thunder Blue/Particle Grey/Photo Blue/BlackStyle: DX3738-400",0.0,0.0,6 | 6.5 | 7 | 7.5 | 8 | 8.5 | 9 | 9.5 | 10 | 10.5 | 11 | 11.5 | 12 | 13 | 14 | 15
Nike College (Alabama),Women's Boxy T-Shirt,Nike,13819495,Team Crimson,18.97,USD,InStock," Lead with your Crimson Tide loyalty in this Alabama tee, putting proud team graphics in the forefront. Follow that up with soft fabric in a boxy design for a roomy feel.Product DetailsLoose fit for a roomy feel50-100% cotton/0-50% polyesterMaterial percentages may vary. Check label for actual content.Machine washImportedShown: Team CrimsonStyle: DN8781-613",0.0,0.0,XS (0–2) | S (4–6) | M (8–10) | L (12–14) | XL (16–18)
Nike,Little Kids' JDI Hat,Nike,13018897,Black,18.0,USD,OutOfStock,"CLASSIC COMFORT.The Nike Hat is made with soft cotton twill fabric in a classic 6-panel design for comfortable coverage. The adjustable strap at the back lets little ones find a the perfect fit.Product DetailsCircumference: 19.5"" Brim length: 2.5""100% cottonHand WashImportedShown: BlackStyle: 8A2854-023",0.0,0.0,Unavailable
Nike Fury,Men's Printed Headband,Nike,14248521,Black/Smoke Grey,13.97,USD,InStock," The Nike Fury Headband features a wide design and sweat-wicking technology to help you stay dry, comfortable and focused during your workout.BenefitsNike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.Silicone grips your hair and helps keep the band in place.Product DetailsWidth: 2.5""79% polyester/14% silicone/7% spandexHand washImportedShown: Black/Smoke GreyStyle: N1003038-061",0.0,0.0,Unavailable
Nike Myriad,Sunglasses,Nike,12592860,Black,69.97,USD,OutOfStock,"MAKE A STATEMENT.Bold and contemporary with a nod to vintage glamour, the Nike Myriad Sunglasses feature a durable yet lightweight frame that wears well during all your daily activities.Benefits4-base flat lens and slim profile provides everyday coverage.Product DetailsDurable, high-tension hingesLightweight, durable injected frameShown: BlackStyle: EV1153-001",5.0,1.0,Unavailable
Nike Dri-FIT Crucial Catch (NFL Buffalo Bills),Women's Pullover Hoodie,Nike,14234141,Black,85.0,USD,OutOfStock,"LIGHTWEIGHT COVERAGE.The Nike Dri-FIT Crucial Catch (NFL Buffalo Bills) Hoodie gets you ready for game day with a nod to a great cause. It Is equipped with a front pocket for convenient storage on the go.BenefitsNike Dri-FIT technology helps you stay dry, comfortable and focused.The hood and adjustable drawstring help provide extra coverage.Product Details91% polyester/9% elastaneMachine washImportedShown: BlackStyle: NS5600AZU4-8UQ",0.0,0.0,Unavailable
Nike Air Force 1 LV8 Utility,Big Kids' Shoes,Nike,12377334,White/Black/Tour Yellow/White,76.97,USD,InStock,"LEGENDARY SNEAKER FOR A LEGENDARY STRIDE.With a nod to the 1982 classic, the Nike Air Force 1 LV8 Utility keeps you looking fresh off the court in premium leather.BenefitsReal and synthetic leather elevates the look of the '82 classic.Encapsulated Air-Sole unit cushions your step.Rubber outsole with pivot point is the same as the original.Perforations help enhance ventilation.Shown: White/Black/Tour Yellow/WhiteStyle: AR1708-100",0.0,0.0,W 5.5 / 4Y | W 6 / 4.5Y | W 6.5 / 5Y
Chelsea FC Strike,Men's Nike Dri-FIT Soccer Track Jacket,Nike,13921844,Rush Blue/College Navy/White,90.0,USD,InStock,"ELEVATE YOUR TRAINING.The Chelsea FC Strike Track Jacket has design details specifically tailored for soccer’s rising stars. A slim, streamlined fit ensures that nothing comes between you and the ball, and sweat-wicking fabric helps keep you cool and composed while fine-tuning your skills.BenefitsNike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.Side pockets let you store your essentials.Product DetailsSlim fit for a tailored feel100% polyesterMachine washImportedShown: Rush Blue/College Navy/WhiteStyle: DJ8533-495",0.0,0.0,S | M | L | XL | 2XL | 3XL
MLB Boston Red Sox,Women's Replica Baseball Jersey,Nike,13731579,Midnight Navy,115.0,USD,OutOfStock,LOYALTY TO YOUR TEAM.The MLB Boston Red Sox Jersey helps deliver a comfortable fit with its polyester material. It features team details to add authenticity to your look on game day.Product Details100% polyesterMachine washImportedShown: Midnight NavyStyle: T773BQNBBQ-XVB,0.0,0.0,Unavailable
MLB Arizona Diamondbacks City Connect,Men's Replica Baseball Jersey,Nike,13838146,Team Gold,135.0,USD,OutOfStock,LOYALTY TO YOUR CITY.The MLB Arizona Diamondbacks City Connect Jersey helps deliver a comfortable fit with its polyester material. It features an authentic design dedicated to the Valley of the Sun to help give you an exclusive look on game day.Product Details100% polyesterMachine washImportedShown: Team GoldStyle: T770DKC2DKS-KMJ,0.0,0.0,Unavailable
Nike College Max 90 (Gonzaga),Men's Long-Sleeve T-Shirt,Nike,13915840,White,26.97,USD,InStock," Show your team loyalty in this long-sleeve Gonzaga tee. It has proud Bulldogs graphics on soft cotton fabric that helps keep you comfortable—on game day and any other day.BenefitsDropped shoulders, longer sleeves and a roomy fit through the body and hips give the Max 90 silhouette a relaxed and casual look.Everyday cotton fabric feels soft and lightweight.Product DetailsRibbed collar and cuffs100% cottonMachine washImportedShown: WhiteStyle: DQ0753-100",0.0,0.0,Unavailable
Nike Dri-FIT,Toddler T-Shirt and Shorts Set,Nike,12965653,Multi-Color,36.0,USD,OutOfStock,"FUN, EASY, DRY.The Nike Dri-FIT Set includes a sweat-wicking T-shirt and matching knit shorts for a sporty ensemble that's ready for play.BenefitsDri-FIT technology helps keep little ones dry and comfortable.Knit fabric is soft and comfortable.Product Details100% polyesterMachine WashImportedShown: Multi-ColorStyle: 76G104-GAE",5.0,1.0,Unavailable
Nike Therma Crucial Catch (NFL Atlanta Falcons),Men's Pullover Hoodie,Nike,14233709,Black,85.0,USD,InStock,"WARM, BREATHABLE FLEECE.The Nike Therma Crucial Catch (NFL Atlanta Falcons) Hoodie is built with sweat-wicking fleece to help manage your body’s natural heat and keep you warm. The chest is designed with the Crucial Catch pattern and logo to help strengthen the support of a great cause.BenefitsNike Therma fabric helps keep you warm.The hood and adjustable drawstring help provide extra coverage.Product DetailsFront pocket100% polyesterMachine washImportedShown: BlackStyle: NS5700AZU2-8UP",0.0,0.0,S | M | L | XL | 2XL
Zion 2,Men's Basketball Shoes,Nike,14027597,Flax/Sesame/Fauna Brown/Muslin,119.97,USD,InStock," Channel your skills in footwear designed for Zion Williamson and built for ballers at any level. An adjustable strap up top helps lock your foot in while an Air-Sole unit and firm midsole support high-paced play. Make it your number 1 pick for the court.BenefitsNike Air-Sole unit provides lightweight cushioning.Zoom Air cushioning under the forefoot provides springy, responsive support.Textile and synthetic leather in the upper provide structure and durability.Foam midsole adds responsive cushioning.Padded collar wraps your ankle with a soft touch.Rubber tread gives you durable traction.Product DetailsZion Williamson's name displayed on the tongue and outsoleAdjustable strap over laces for a secure fitJumpman logo on sidePlastic shank at midsole for stabilizationShown: Flax/Sesame/Fauna Brown/MuslinStyle: DV3462-212",4.7,3.0,8
Jordan,Little Kids' Hoodie,Nike,14204603,Atmosphere,33.97,USD,InStock,"SUPER COZY AND ROOMY.Snuggle up with the Jordan Fleece Hoodie. This pullover is made with all the coziness of supersoft fabric to keep kiddos comfy on their next adventure.BenefitsLightweight fleece feels super soft and fuzzy on the inside.Ribbed cuffs stretch to hold in warmth.Hood for added coverage.Front pocket for easy stashing.Product DetailsLoose fit for a roomy feel57% Cotton, 38% Polyester, 5% ElastaneMachine washImportedShown: AtmosphereStyle: 35B324-X24",0.0,0.0,4 | 5 | 6 | 6X
Nike Dri-FIT Sideline Velocity Lockup (NFL Buffalo Bills),Women's T-Shirt,Nike,1000133913,Royal,40.0,USD,InStock,"EXCEPTIONAL COMFORT.The Nike Dri-FIT Sideline Velocity Lockup (NFL Buffalo Bills) T-Shirt combines sweat-wicking technology with a bold team design to help give you a reliable look and feel while on the move.BenefitsNike Dri-FIT technology helps you stay dry, comfortable and focused.Jersey fabric has a soft, lightweight feel.Product Details100% polyesterMachine washImportedShown: RoyalStyle: NS184DA81-63S",0.0,0.0,XS (0–2)
Jordan,Little Kids' T-Shirt and Shorts Set,Nike,14285325,Light Smoke Grey,34.97,USD,InStock,"COMFORT MEETS ITS MATCH.The Jordan T-Shirt and Shorts Set includes a soft T-Shirt and matching shorts for an easy everyday outfit.BenefitsThe t-shirt is made with soft, knit fabric.Shorts have a stretch waistband for a comfortable fit.Product DetailsStandard fit for a relaxed, easy feel.T-Shirt: 60% Cotton, 40% Polyester. Shorts: 100% PolyesterMachine WashImportedShown: Light Smoke GreyStyle: 85B316-G6U",0.0,0.0,4 | 6 | 7
Nike Air Max 90 SE,Men's Shoes,Nike,13823256,Black/Scream Green/Summit White/Obsidian,119.97,USD,InStock,"COMFORT AND HERITAGE.Max Air changed the game in ’87. Now, we honor its emerald anniversary (35 years!) with the Nike Air Max 90 SE. Emerald graphics and colors highlight this big landmark, while its classic Waffle outsole and exposed Air cushioning keep you living the legacy in comfort.BenefitsOriginally designed for performance running, the Max Air unit in the heel adds unbelievable cushioning.Padded, low-top collar looks sleek and feels comfortable.Rubber Waffle outsole adds a heritage look, traction and durability.Stitched overlays and plastic accents on the heel and eyestays add durability, comfort and an iconic look.Product DetailsFoam midsole for a soft feelShown: Black/Scream Green/Summit White/ObsidianStyle: DN4155-001Nike Air Max OriginsRevolutionary Air technology first made its way into Nike footwear in 1978. In 1987, the Air Max 1 debuted with visible Air technology in its heel, allowing fans more than just the feel of Air cushioning—suddenly they could see it. Since then, next-generation Air Max shoes have become a hit with athletes and collectors by offering striking color combinations and reliable, lightweight cushioning.",4.8,31.0,6 | 6.5 | 7 | 7.5 | 8 | 8.5 | 9 | 10
Nike Dri-FIT Athletic Arch Jersey (NFL Pittsburgh Steelers),Men's Pullover Hoodie,Nike,1007647981,Black/Gold,100.0,USD,InStock,"COMFORTABLY DISPLAY YOUR TEAM PRIDE.The Nike Dri-FIT Athletic Arch Jersey (NFL Pittsburgh Steelers) Hoodie has sweat-wicking fabric with team graphics across the chest and down the sleeve to provide a bold, warm layer that helps keep you dry during football season.BenefitsNike Dri-FIT technology helps you stay dry, comfortable and focused.Fleece lining helps retain warmth.Product DetailsHood with adjustable drawstringFront pocket85% recycled polyester/15% elastaneMachine washImportedShown: Black/GoldStyle: NS53057Y7L-5UC",0.0,0.0,Unavailable
Sylvia Fowles Lynx Explorer Edition,Nike Dri-FIT WNBA Victory Jersey,Nike,13197305,Court Blue/College Navy,100.0,USD,InStock,"MERCILESS COLD.The embodiment of toughness and persistence in the face of merciless cold, the Minnesota Lynx’s Nike Explorer Edition Jersey shows the state’s true spots—fierce dappled details nod to the stealthy nimbleness of wild cats, while an icy blue background stands strong for the Midwest’s frigid winters. This product is made with 100% recycled polyester fibers.Fly FabricDouble-knit mesh fabric feels soft and lightweight. Dri-FIT technology helps keep you dry and comfortable.Explorer JerseyThe WNBA Explorer Edition jersey is part of the WNBA's new lineup of uniforms. It reps the team's home and bold primary colors.Product DetailsLoose fit for a roomy feelRibbed neckline and armholesSewn-on jock tagHeat-applied graphics100% polyesterMachine washImportedShown: Court Blue/College NavyStyle: DC9573-476",0.0,0.0,XS (0–2) | S (4–6) | M (8–10) | L (12–14) | XL (16–18) | 2XL (20–22)
Nike Air,Big Kids' (Boys') Pullover Hoodie,Nike,13810968,Black/Black/Light Bone,34.97,USD,InStock,"BIG AIR + COZY COMFORT.Grab the hoodie that feels sporty and layers easily with almost anything. Supersoft fleece combines with mesh lining for a warm and breathable design from playtime to schooltime.BenefitsSupersoft fleece has a fuzzy feel against your body for extra warmth.Mesh lining in the hood and pockets brings extra breathability.Side pockets hold small items or keep your hands warm.Product DetailsStandard fit for a relaxed, easy feelSide pocketsRibbed cuffs and hemReflective detailsBody: 80% cotton/20% polyester. Rib: 98% cotton/2% spandex. Pocket bags/Hood lining: 100% cotton.Machine washImportedNot intended for use as Personal Protective Equipment (PPE)Shown: Black/Black/Light BoneStyle: DM8109-010",0.0,0.0,XS | XL
Paris-Saint Germain 2021/22 Stadium Third,Big Kids' Nike Dri-FIT Soccer Jersey,Nike,13355240,Black/Dark Grey/White/Siren Red,75.0,USD,OutOfStock,"YOUR TEAM. YOUR COLORS.Like other jerseys from our Stadium collection, the Paris Saint-Germain Jersey pairs replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favorite team. This product is made with at least 75% recycled polyester fibers.Stay DryBreathable fabric with Nike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.Elite InspirationReplica design is modeled after what the pros wear on the field.Product DetailsStandard fit for a relaxed, easy feel100% polyesterMachine washImportedShown: Black/Dark Grey/White/Siren RedStyle: DB6245-011",0.0,0.0,Unavailable
